Date;Open;High;Low;Close;Number of Shares;Number of Trades;Turnover
26/05/2022;6301.49;6424.88;6298.45;6410.58;0;0;2851830525
27/05/2022;6445.25;6519.73;6424.85;6515.75;0;0;3534638486
30/05/2022;6547.86;6582.05;6536.77;6562.39;0;0;3169432739
31/05/2022;6539.86;6543.42;6457.53;6468.80;0;0;7895489150
01/06/2022;6509.19;6510.26;6414.22;6418.89;0;0;3337197072
02/06/2022;6447.37;6506.60;6447.30;6500.44;0;0;2633503949
03/06/2022;6545.00;6547.82;6473.74;6485.30;0;0;2206159108
06/06/2022;6533.82;6593.15;6533.82;6548.78;0;0;2900612240
07/06/2022;6523.16;6523.60;6459.92;6500.35;0;0;2855869564
08/06/2022;6517.55;6517.55;6413.87;6448.63;0;0;3213515157
09/06/2022;6412.58;6456.91;6342.99;6358.46;0;0;3519523157
10/06/2022;6316.41;6325.89;6177.31;6187.23;0;0;4231603437
13/06/2022;6088.05;6122.26;6006.28;6022.32;0;0;4373287293
14/06/2022;6063.80;6075.37;5934.12;5949.84;0;0;3799378345
15/06/2022;6022.84;6062.62;5972.31;6030.13;0;0;3888294910
16/06/2022;6003.66;6018.10;5872.20;5886.24;0;0;3619961537
17/06/2022;5906.86;5974.06;5870.64;5882.65;0;0;10615357246
20/06/2022;5901.58;5920.09;5855.93;5920.09;0;0;2837413987
21/06/2022;5943.52;6032.24;5943.08;5964.66;0;0;2807086193
22/06/2022;5879.09;5938.46;5834.46;5916.63;0;0;3390806818
23/06/2022;5880.30;5957.13;5830.87;5883.33;0;0;3499453782
24/06/2022;5918.26;6085.99;5914.67;6073.35;0;0;3609204701
27/06/2022;6105.20;6156.60;6030.61;6047.31;0;0;2882472387
28/06/2022;6099.15;6141.94;6077.95;6086.02;0;0;2864326067
29/06/2022;6021.69;6071.91;5995.75;6031.48;0;0;2797585099
30/06/2022;5926.74;5931.55;5852.30;5922.86;0;0;4573890816
01/07/2022;5875.60;5975.83;5857.34;5931.06;0;0;2969064874
04/07/2022;5983.98;6002.07;5943.91;5954.65;0;0;2175919226
05/07/2022;5979.20;5981.51;5786.50;5794.96;0;0;3737487231
06/07/2022;5872.27;5927.50;5846.10;5912.38;0;0;3543736376
07/07/2022;5985.09;6024.31;5967.98;6006.70;0;0;3670664396
08/07/2022;6007.64;6053.17;5952.89;6033.13;0;0;2882674952
11/07/2022;5923.83;6004.52;5909.73;5996.30;0;0;2380179960
12/07/2022;5960.09;6053.33;5930.98;6044.20;0;0;3013485208
13/07/2022;6015.53;6025.73;5922.94;6000.24;0;0;2885548210
14/07/2022;5979.99;5997.31;5874.68;5915.41;0;0;2819576094
15/07/2022;5935.28;6043.80;5901.38;6036.00;0;0;3749570224
18/07/2022;6070.21;6136.02;6059.87;6091.91;0;0;2455396546
19/07/2022;6031.60;6213.88;6028.79;6201.22;0;0;2974650831
20/07/2022;6229.79;6245.47;6151.36;6184.66;0;0;2900176318
21/07/2022;6160.37;6233.98;6143.06;6201.11;0;0;3260198873
22/07/2022;6174.29;6247.35;6168.77;6216.82;0;0;0
25/07/2022;6198.83;6260.13;6177.14;6237.55;0;0;2426286778
26/07/2022;6225.17;6243.86;6194.96;6211.45;0;0;2639981285
